Signature,Block Time,Human Time,Action,From,To,Amount,Value,Decimals,Token Address, Multiplier
5RLhkuoFAetmhEkrmeefUtH1SA1HJEKiJXBRL2zwKNcrjr9NLxmmhyid3UiYNFitWzxsU8UDbfxxQ6rCEF2G46rm,1757251246,2025-09-07T13:20:46.000Z,TRANSFER,5TRZYZXU8WnxG3R56Cz2j2DeE2CtWfzD2fYRvAUnSs8D,9Z1vhUWgjEfnpcSTFv2ouRFNjmg6on36iLHikgDH4Jq9,27854595067,0.1747,6,HLxdqSmiKamc4quBoMTxNVecTpJvzPRvrKg2HUJGEQcY,1.0
3EfhiKvQgQsrnur5n3SnHf5DhRWcuXaRWGqafXTiWz48PDYEG1r6XApS9j3u527tzs4ivricqp76GS4JggXZf7nM,1757251233,2025-09-07T13:20:33.000Z,TRANSFER,5TRZYZXU8WnxG3R56Cz2j2DeE2CtWfzD2fYRvAUnSs8D,9Z1vhUWgjEfnpcSTFv2ouRFNjmg6on36iLHikgDH4Jq9,7821150650,0.04905,6,HLxdqSmiKamc4quBoMTxNVecTpJvzPRvrKg2HUJGEQcY,1.0
4ZoGGuAdzfnSqnrXAVsxSovJu4PbCsJLNBbaZj1FECCs9AjyF2d9ufwZngvKrmmf9u1e1Xgm5YyvonJSdvaXKiav,1757249910,2025-09-07T12:58:30.000Z,TRANSFER,7yc4axWfEgJvANMkYDb9BSSw71SZJ2mzvgVZB8NE1ECW,5TRZYZXU8WnxG3R56Cz2j2DeE2CtWfzD2fYRvAUnSs8D,20034025074,0.1259,6,HLxdqSmiKamc4quBoMTxNVecTpJvzPRvrKg2HUJGEQcY,1.0
3y8yAvPBerr6EQZ5vZVtZkJhUwzHw8sTSGvb7nec9ncfMny6U8vnDuUJQcbJxjEHTBw7VgJ5H7iiqjLauhBHWTW4,1757247143,2025-09-07T12:12:23.000Z,TRANSFER,HV1KXxWFaSeriyFvXyx48FqG9BoFbfinB8njCJonqP7K,5TRZYZXU8WnxG3R56Cz2j2DeE2CtWfzD2fYRvAUnSs8D,1955533128325,12.29,6,HLxdqSmiKamc4quBoMTxNVecTpJvzPRvrKg2HUJGEQcY,1.0
3y8yAvPBerr6EQZ5vZVtZkJhUwzHw8sTSGvb7nec9ncfMny6U8vnDuUJQcbJxjEHTBw7VgJ5H7iiqjLauhBHWTW4,1757247143,2025-09-07T12:12:23.000Z,TRANSFER,xDGCZjf5aTy6XQdMiyoeFJnvwKbYQWTXvzLgxxfrZWL,HV1KXxWFaSeriyFvXyx48FqG9BoFbfinB8njCJonqP7K,1955533128325,12.29,6,HLxdqSmiKamc4quBoMTxNVecTpJvzPRvrKg2HUJGEQcY,1.0
3UeYoxANVb5LhrYCoVhPgZyPxSwxipiHp9uCsJGCQCQzFKCxSTUaNFf6HgfsvJoxecXyXQopUURQTAny9y6bq2YQ,1757245102,2025-09-07T11:38:22.000Z,TRANSFER,ATy7XpNyYGbzGvZvodWpkz8MjqQc2u43gXXNeaskdtQP,5TRZYZXU8WnxG3R56Cz2j2DeE2CtWfzD2fYRvAUnSs8D,53052672782,0.3373,6,HLxdqSmiKamc4quBoMTxNVecTpJvzPRvrKg2HUJGEQcY,1.0
5BkjNf4XdbnGJXTVT7ov4k7S1hs25EGc9MGU8iuZfAidS6VmXdz9q4osVxpAgYxVJRsTQ4GDTnVzr9zgEsqMXCGg,1757239000,2025-09-07T09:56:40.000Z,TRANSFER,HV1KXxWFaSeriyFvXyx48FqG9BoFbfinB8njCJonqP7K,3BnR1hehzKHJHkVicWasM8EH1UNT9Aedqu9yYuc88bK4,154025509393,0.9675,6,HLxdqSmiKamc4quBoMTxNVecTpJvzPRvrKg2HUJGEQcY,1.0
5BkjNf4XdbnGJXTVT7ov4k7S1hs25EGc9MGU8iuZfAidS6VmXdz9q4osVxpAgYxVJRsTQ4GDTnVzr9zgEsqMXCGg,1757239000,2025-09-07T09:56:40.000Z,TRANSFER,5TRZYZXU8WnxG3R56Cz2j2DeE2CtWfzD2fYRvAUnSs8D,HV1KXxWFaSeriyFvXyx48FqG9BoFbfinB8njCJonqP7K,154025509393,0.9675,6,HLxdqSmiKamc4quBoMTxNVecTpJvzPRvrKg2HUJGEQcY,1.0
3VSSMNTkvdW685BWsgRjnCPH6osybpJRLmgbFYjMKPYczUAgBiXWieXyqKRW7NjroFyopDGM4DSR9eXxHFXp7g2j,1757238112,2025-09-07T09:41:52.000Z,TRANSFER,3hZzd5daUXGCw5VLAXedg7yLUKGFAh7MdRkzBx9XEWj3,5TRZYZXU8WnxG3R56Cz2j2DeE2CtWfzD2fYRvAUnSs8D,690205266904,4.3566,6,HLxdqSmiKamc4quBoMTxNVecTpJvzPRvrKg2HUJGEQcY,1.0
4tvFZWN6TgJYpRWT8KAHy74cmLdwXohywpTsRx7m2QVgy8gYWVLbzXAmaBpfPwEbD3fnvFZMrJbe7rfY8jMWYDn4,1757234579,2025-09-07T08:42:59.000Z,TRANSFER,FuuVW7MRn2Rjiiqpo1H3WpPxAKZZhsuB8xFqKZ7VjWf9,5TRZYZXU8WnxG3R56Cz2j2DeE2CtWfzD2fYRvAUnSs8D,559781748912,3.5246,6,HLxdqSmiKamc4quBoMTxNVecTpJvzPRvrKg2HUJGEQcY,1.0
2iFMBS7wgyZEQeK43zFDnv4aUYJ3rCvttjej9iQoCH5R2NpqQ9EebnEWjL7BQyGt54GLqh3qSEkYYF7sqxXz1Mvn,1757216335,2025-09-07T03:38:55.000Z,TRANSFER,7xJZjjMBYQN4YEDDNLYkZvXBxN47uvWACmvFnFRav8i9,5TRZYZXU8WnxG3R56Cz2j2DeE2CtWfzD2fYRvAUnSs8D,906530505823,5.7297,6,HLxdqSmiKamc4quBoMTxNVecTpJvzPRvrKg2HUJGEQcY,1.0
3tFMgnGUH8WEmunbjCoF2eDjfgsmSe82YNpXUKR9adACmCdxyvszoE4r98y9JB147VBm1QQRhPY8RGWrkLzrcor8,1757215846,2025-09-07T03:30:46.000Z,TRANSFER,PKjk41Y87ao2Lvfz17jmRYhaxJA84Ym9hgQ2vwu8Ufc,5TRZYZXU8WnxG3R56Cz2j2DeE2CtWfzD2fYRvAUnSs8D,1567883470270,9.9911,6,HLxdqSmiKamc4quBoMTxNVecTpJvzPRvrKg2HUJGEQcY,1.0
5heGnC9nm1w6M8k99DK1HnTFs8LqWwwtFpG9fiDEaQ8CE9qpMkoKr3s3z6mNFRiPC18eFocCwXrkeAxSzY1kS7dj,1757213053,2025-09-07T02:44:13.000Z,TRANSFER,D3o3BVToFJpM3FxrFSc7b3ZhwP4DuwL6srPYfGft9hE2,5TRZYZXU8WnxG3R56Cz2j2DeE2CtWfzD2fYRvAUnSs8D,8195981170694,52.79,6,HLxdqSmiKamc4quBoMTxNVecTpJvzPRvrKg2HUJGEQcY,1.0
2uTdqdrACaNkqFkY4yxK2bw32ND7LZT2HKBZafhxxs87iKjDsAXRVWFGP9LWmog1jsKmYcnSMbio1piCaRcKr8gH,1757211108,2025-09-07T02:11:48.000Z,TRANSFER,HV1KXxWFaSeriyFvXyx48FqG9BoFbfinB8njCJonqP7K,5TRZYZXU8WnxG3R56Cz2j2DeE2CtWfzD2fYRvAUnSs8D,540352632966,3.4772,6,HLxdqSmiKamc4quBoMTxNVecTpJvzPRvrKg2HUJGEQcY,1.0
2uTdqdrACaNkqFkY4yxK2bw32ND7LZT2HKBZafhxxs87iKjDsAXRVWFGP9LWmog1jsKmYcnSMbio1piCaRcKr8gH,1757211108,2025-09-07T02:11:48.000Z,TRANSFER,AtRcK6KxpWeKCkGgk8uaAdetV7MM5oB2ZVcGDyQhAn74,HV1KXxWFaSeriyFvXyx48FqG9BoFbfinB8njCJonqP7K,540352632966,3.4772,6,HLxdqSmiKamc4quBoMTxNVecTpJvzPRvrKg2HUJGEQcY,1.0
5xMckkMoxfMn94wDfqRdpbkzZbriKb6CCw58saYJkt6YoPxgFGw9nQEMhu3aAKEEbUEjPcyLBzrsfAf7xkayorRb,1757206736,2025-09-07T00:58:56.000Z,TRANSFER,A8pPXTUgjJTHWSRr7BDBfBguV9HEcrh9o6V6Lvg5jfoy,5TRZYZXU8WnxG3R56Cz2j2DeE2CtWfzD2fYRvAUnSs8D,2995568550814,19.3,6,HLxdqSmiKamc4quBoMTxNVecTpJvzPRvrKg2HUJGEQcY,1.0
3abkMSyHAPhssmJtkkHabTgmpJKGvJA4j2R28M7n1oj7w2dVr1ovnDej1YPRLhiMuxkppJoHcepWbmfGth32AyXV,1757203601,2025-09-07T00:06:41.000Z,TRANSFER,DQajKFki1wUj3sY7So42bXAiXt4uhBvM1YB9eiivrx5X,5TRZYZXU8WnxG3R56Cz2j2DeE2CtWfzD2fYRvAUnSs8D,80167499286,0.5196,6,HLxdqSmiKamc4quBoMTxNVecTpJvzPRvrKg2HUJGEQcY,1.0
4JYcd9Mt1n4aAFC8hPPfqh2ncko3xxKop1qdpMJ4RjUzse2285F3iPLz2fdyTxniLxS6RhNXo17Q8ZLD74jc4o4y,1757197948,2025-09-06T22:32:28.000Z,TRANSFER,7xJZjjMBYQN4YEDDNLYkZvXBxN47uvWACmvFnFRav8i9,5TRZYZXU8WnxG3R56Cz2j2DeE2CtWfzD2fYRvAUnSs8D,5433743851901,35.8,6,HLxdqSmiKamc4quBoMTxNVecTpJvzPRvrKg2HUJGEQcY,1.0
4JYcd9Mt1n4aAFC8hPPfqh2ncko3xxKop1qdpMJ4RjUzse2285F3iPLz2fdyTxniLxS6RhNXo17Q8ZLD74jc4o4y,1757197948,2025-09-06T22:32:28.000Z,TRANSFER,7xJZjjMBYQN4YEDDNLYkZvXBxN47uvWACmvFnFRav8i9,3LoAYHuSd7Gh8d7RTFnhvYtiTiefdZ5ByamU42vkzd76,5439183034,0.03583,6,HLxdqSmiKamc4quBoMTxNVecTpJvzPRvrKg2HUJGEQcY,1.0
4iPPSBsGPj9Bob5mFrHNUpp942TTaCi3dUTCmyqeMa5sJwdEfhVw1Pfy3gFJdTGDqkSN2Vedo6uGopJhBJDK2CGF,1757195137,2025-09-06T21:45:37.000Z,TRANSFER,9NrUwKxo4hvggWtpH6yEDkcXT71vdoFke6guZXVzBe78,5TRZYZXU8WnxG3R56Cz2j2DeE2CtWfzD2fYRvAUnSs8D,52168667693,0.3451,6,HLxdqSmiKamc4quBoMTxNVecTpJvzPRvrKg2HUJGEQcY,1.0
isYAVPUaSTAbCk3FJDGVF8yuSkKG2J3o2yxPcQg4dVLEBcwPdzxLosQqxQWrFweGVucYAr2zyvAJuTNeAwLnQmU,1757195127,2025-09-06T21:45:27.000Z,TRANSFER,5TRZYZXU8WnxG3R56Cz2j2DeE2CtWfzD2fYRvAUnSs8D,9NrUwKxo4hvggWtpH6yEDkcXT71vdoFke6guZXVzBe78,27758175168,0.1836,6,HLxdqSmiKamc4quBoMTxNVecTpJvzPRvrKg2HUJGEQcY,1.0
Co19bkUtejvQkPigYtrsQzmythLZkSX9c4yhYHcx66xR3n1wAC5Y9HFZeQA5JRbnR4Ts6KhcAAp9gmxs72v7ex2,1757195111,2025-09-06T21:45:11.000Z,TRANSFER,5TRZYZXU8WnxG3R56Cz2j2DeE2CtWfzD2fYRvAUnSs8D,9NrUwKxo4hvggWtpH6yEDkcXT71vdoFke6guZXVzBe78,22902031538,0.1515,6,HLxdqSmiKamc4quBoMTxNVecTpJvzPRvrKg2HUJGEQcY,1.0
2PyyXLymGRbJi7J3iysJdXp765XGaFK1pnvbpk4vkYQw7XKCXnNcoyZ56JGauDVjZoPma3dcJvRuUaDKSL4mYZSh,1757194739,2025-09-06T21:38:59.000Z,TRANSFER,CuSQsd2VnVuPvFdowArtzbYMN77HSWgSoEiUDSTifQx7,5TRZYZXU8WnxG3R56Cz2j2DeE2CtWfzD2fYRvAUnSs8D,36873625392,0.2402,6,HLxdqSmiKamc4quBoMTxNVecTpJvzPRvrKg2HUJGEQcY,1.0
5cpxta5ecTd55rxD7MShTfmkiWx2QqZdkb5EdbrMveKaJkWR76m9bcTf69S7veW4p9dDeAZAk19oVBqKhVp6dHLc,1757194732,2025-09-06T21:38:52.000Z,TRANSFER,5TRZYZXU8WnxG3R56Cz2j2DeE2CtWfzD2fYRvAUnSs8D,CuSQsd2VnVuPvFdowArtzbYMN77HSWgSoEiUDSTifQx7,7801802403,0.05083,6,HLxdqSmiKamc4quBoMTxNVecTpJvzPRvrKg2HUJGEQcY,1.0
4LecEvKJTNsr51qVW1w1eviBAqSbwT49hTYt92WqPi2D4Y7UMRB71JFPdbF2By3yyn6QePxWm18aAZ95H8B6zkWj,1757194724,2025-09-06T21:38:44.000Z,TRANSFER,5TRZYZXU8WnxG3R56Cz2j2DeE2CtWfzD2fYRvAUnSs8D,CuSQsd2VnVuPvFdowArtzbYMN77HSWgSoEiUDSTifQx7,20561695475,0.134,6,HLxdqSmiKamc4quBoMTxNVecTpJvzPRvrKg2HUJGEQcY,1.0
3TXnezqD2gcDrsn2KxVzqJ6yZahcHTZHS4rUZ1qKCbj8SvUSerqL6RvuT7mfMLgkYiEus833cGD4s3ddXchmHAN3,1757194717,2025-09-06T21:38:37.000Z,TRANSFER,5TRZYZXU8WnxG3R56Cz2j2DeE2CtWfzD2fYRvAUnSs8D,CuSQsd2VnVuPvFdowArtzbYMN77HSWgSoEiUDSTifQx7,8510127514,0.05545,6,HLxdqSmiKamc4quBoMTxNVecTpJvzPRvrKg2HUJGEQcY,1.0
